lead_id,interaction_type,interaction_date,details
86,Meeting,1/1/2023,"{""follow_up_date"": ""2023-04-18"", ""priority"": ""high""}"
9,Meeting,1/1/2023,"{""follow_up_date"": ""2023-06-27"", ""priority"": ""low""}"
738,Call,1/1/2023,"{""follow_up_date"": ""2023-03-23"", ""priority"": ""medium""}"
243,Call,1/1/2023,"{""follow_up_date"": ""2023-08-25"", ""priority"": ""medium""}"
71,Call,1/2/2023,"{""follow_up_date"": ""2023-12-31"", ""priority"": ""medium""}"
939,Email,1/3/2023,"{""follow_up_date"": ""2023-02-03"", ""priority"": ""high""}"
948,Email,1/3/2023,"{""follow_up_date"": ""2024-01-02"", ""priority"": ""medium""}"
163,Meeting,1/3/2023,"{""follow_up_date"": ""2023-08-27"", ""priority"": ""medium""}"
810,Call,1/4/2023,"{""follow_up_date"": ""2023-11-29"", ""priority"": ""low""}"
782,Email,1/4/2023,"{""follow_up_date"": ""2023-06-09"", ""priority"": ""medium""}"
734,Email,1/4/2023,"{""follow_up_date"": ""2023-06-18"", ""priority"": ""medium""}"
171,Email,1/4/2023,"{""follow_up_date"": ""2023-06-18"", ""priority"": ""high""}"
707,Call,1/4/2023,"{""follow_up_date"": ""2023-05-06"", ""priority"": ""low""}"
881,Email,1/4/2023,"{""follow_up_date"": ""2023-11-17"", ""priority"": ""low""}"
910,Call,1/4/2023,"{""follow_up_date"": ""2023-08-22"", ""priority"": ""low""}"
694,Meeting,1/5/2023,"{""follow_up_date"": ""2023-07-24"", ""priority"": ""high""}"
508,Call,1/5/2023,"{""follow_up_date"": ""2023-05-31"", ""priority"": ""low""}"
715,Email,1/5/2023,"{""follow_up_date"": ""2023-04-26"", ""priority"": ""high""}"
705,Email,1/6/2023,"{""follow_up_date"": ""2023-11-21"", ""priority"": ""high""}"
256,Call,1/6/2023,"{""follow_up_date"": ""2023-05-25"", ""priority"": ""low""}"
462,Meeting,1/6/2023,"{""follow_up_date"": ""2023-02-15"", ""priority"": ""medium""}"
914,Call,1/7/2023,"{""follow_up_date"": ""2023-09-12"", ""priority"": ""high""}"
137,Email,1/7/2023,"{""follow_up_date"": ""2023-11-08"", ""priority"": ""medium""}"
795,Call,1/8/2023,"{""follow_up_date"": ""2023-12-01"", ""priority"": ""medium""}"
826,Meeting,1/9/2023,"{""follow_up_date"": ""2023-10-18"", ""priority"": ""high""}"
750,Meeting,1/9/2023,"{""follow_up_date"": ""2023-01-25"", ""priority"": ""medium""}"
778,Email,1/10/2023,"{""follow_up_date"": ""2023-12-22"", ""priority"": ""medium""}"
91,Meeting,1/10/2023,"{""follow_up_date"": ""2023-11-08"", ""priority"": ""medium""}"
448,Email,1/10/2023,"{""follow_up_date"": ""2023-08-14"", ""priority"": ""high""}"
96,Email,1/10/2023,"{""follow_up_date"": ""2023-08-06"", ""priority"": ""high""}"
439,Email,1/11/2023,"{""follow_up_date"": ""2023-02-09"", ""priority"": ""low""}"
61,Call,1/11/2023,"{""follow_up_date"": ""2023-03-11"", ""priority"": ""low""}"
883,Meeting,1/11/2023,"{""follow_up_date"": ""2023-10-14"", ""priority"": ""high""}"
218,Meeting,1/12/2023,"{""follow_up_date"": ""2023-07-18"", ""priority"": ""medium""}"
876,Call,1/13/2023,"{""follow_up_date"": ""2023-12-21"", ""priority"": ""medium""}"
330,Meeting,1/14/2023,"{""follow_up_date"": ""2023-05-25"", ""priority"": ""high""}"
521,Meeting,1/14/2023,"{""follow_up_date"": ""2023-09-23"", ""priority"": ""medium""}"
140,Meeting,1/15/2023,"{""follow_up_date"": ""2023-12-10"", ""priority"": ""high""}"
256,Email,1/16/2023,"{""follow_up_date"": ""2023-02-06"", ""priority"": ""medium""}"
434,Call,1/17/2023,"{""follow_up_date"": ""2023-03-05"", ""priority"": ""low""}"
726,Call,1/17/2023,"{""follow_up_date"": ""2023-12-15"", ""priority"": ""medium""}"
228,Email,1/18/2023,"{""follow_up_date"": ""2023-09-27"", ""priority"": ""low""}"
41,Email,1/18/2023,"{""follow_up_date"": ""2023-12-21"", ""priority"": ""high""}"
768,Email,1/18/2023,"{""follow_up_date"": ""2023-01-31"", ""priority"": ""low""}"
249,Meeting,1/19/2023,"{""follow_up_date"": ""2023-05-04"", ""priority"": ""high""}"
558,Email,1/19/2023,"{""follow_up_date"": ""2023-05-30"", ""priority"": ""medium""}"
736,Call,1/19/2023,"{""follow_up_date"": ""2023-06-28"", ""priority"": ""medium""}"
263,Call,1/19/2023,"{""follow_up_date"": ""2023-11-18"", ""priority"": ""high""}"
311,Meeting,1/20/2023,"{""follow_up_date"": ""2023-10-14"", ""priority"": ""low""}"
710,Email,1/20/2023,"{""follow_up_date"": ""2024-01-09"", ""priority"": ""low""}"
345,Call,1/20/2023,"{""follow_up_date"": ""2023-11-06"", ""priority"": ""medium""}"
317,Call,1/21/2023,"{""follow_up_date"": ""2023-03-09"", ""priority"": ""medium""}"
173,Call,1/21/2023,"{""follow_up_date"": ""2023-07-26"", ""priority"": ""low""}"
840,Email,1/21/2023,"{""follow_up_date"": ""2023-09-13"", ""priority"": ""high""}"
430,Meeting,1/21/2023,"{""follow_up_date"": ""2023-04-09"", ""priority"": ""medium""}"
990,Email,1/21/2023,"{""follow_up_date"": ""2023-04-25"", ""priority"": ""medium""}"
604,Call,1/21/2023,"{""follow_up_date"": ""2023-02-09"", ""priority"": ""high""}"
190,Email,1/22/2023,"{""follow_up_date"": ""2023-10-03"", ""priority"": ""medium""}"
286,Call,1/22/2023,"{""follow_up_date"": ""2024-01-22"", ""priority"": ""high""}"
197,Meeting,1/22/2023,"{""follow_up_date"": ""2024-01-21"", ""priority"": ""low""}"
599,Meeting,1/22/2023,"{""follow_up_date"": ""2024-01-11"", ""priority"": ""high""}"
314,Meeting,1/22/2023,"{""follow_up_date"": ""2023-05-24"", ""priority"": ""medium""}"
68,Email,1/22/2023,"{""follow_up_date"": ""2023-12-17"", ""priority"": ""medium""}"
382,Email,1/22/2023,"{""follow_up_date"": ""2023-09-11"", ""priority"": ""high""}"
963,Email,1/23/2023,"{""follow_up_date"": ""2023-08-04"", ""priority"": ""medium""}"
494,Meeting,1/23/2023,"{""follow_up_date"": ""2023-05-02"", ""priority"": ""high""}"
869,Email,1/23/2023,"{""follow_up_date"": ""2024-01-05"", ""priority"": ""low""}"
848,Meeting,1/23/2023,"{""follow_up_date"": ""2023-08-31"", ""priority"": ""low""}"
829,Meeting,1/24/2023,"{""follow_up_date"": ""2023-09-08"", ""priority"": ""high""}"
457,Call,1/25/2023,"{""follow_up_date"": ""2023-05-11"", ""priority"": ""medium""}"
624,Call,1/25/2023,"{""follow_up_date"": ""2023-09-06"", ""priority"": ""high""}"
141,Meeting,1/26/2023,"{""follow_up_date"": ""2023-09-24"", ""priority"": ""high""}"
735,Call,1/27/2023,"{""follow_up_date"": ""2023-12-27"", ""priority"": ""high""}"
205,Meeting,1/27/2023,"{""follow_up_date"": ""2023-06-11"", ""priority"": ""low""}"
521,Email,1/28/2023,"{""follow_up_date"": ""2023-03-06"", ""priority"": ""medium""}"
